Peek Lid Scan 

Barcode Fluorometer 1: 10164802459125008321372; 
Barcode Fluorometer 2: 20163102452123308261375; 

SystemTime; Bank No;	Well No;	Color;	RFU;	Time;	CycleNo; 
2020-06-19   13:24:30 ;	0;	50;	1;	3613;0;	0; 
2020-06-19   13:24:30 ;	0;	30;	2;	1084;0;	0; 
2020-06-19   13:24:30 ;	0;	60;	2;	1030;0;	0; 
2020-06-19   13:24:30 ;	0;	21;	3;	805;0;	0; 
2020-06-19   13:24:30 ;	0;	51;	3;	782;0;	0; 
2020-06-19   13:24:30 ;	0;	7;	4;	1107;0;	0; 
2020-06-19   13:24:30 ;	0;	37;	4;	1156;0;	0; 
2020-06-19   13:24:30 ;	0;	4;	0;	31090;0;	0; 
2020-06-19   13:24:30 ;	0;	15;	1;	3702;0;	0; 
2020-06-19   13:24:30 ;	0;	18;	2;	1118;0;	0; 
2020-06-19   13:24:30 ;	0;	34;	0;	29662;0;	0; 
2020-06-19   13:24:30 ;	0;	22;	3;	804;0;	0; 
2020-06-19   13:24:30 ;	0;	45;	1;	3523;0;	0; 
2020-06-19   13:24:30 ;	0;	6;	4;	1236;0;	0; 
2020-06-19   13:24:30 ;	0;	48;	2;	1086;0;	0; 
2020-06-19   13:24:30 ;	0;	52;	3;	794;0;	0; 
2020-06-19   13:24:30 ;	0;	36;	4;	1234;0;	0; 
2020-06-19   13:24:30 ;	0;	3;	0;	30718;0;	0; 
2020-06-19   13:24:30 ;	0;	33;	0;	28242;0;	0; 
2020-06-19   13:24:30 ;	0;	19;	1;	3496;0;	0; 
2020-06-19   13:24:30 ;	0;	49;	1;	3424;0;	0; 
2020-06-19   13:24:30 ;	0;	23;	2;	1204;0;	0; 
2020-06-19   13:24:30 ;	0;	53;	2;	1241;0;	0; 
2020-06-19   13:24:30 ;	0;	26;	3;	825;0;	0; 
2020-06-19   13:24:30 ;	0;	56;	3;	804;0;	0; 
2020-06-19   13:24:30 ;	0;	12;	4;	1292;0;	0; 
2020-06-19   13:24:30 ;	0;	42;	4;	1222;0;	0; 
2020-06-19   13:24:31 ;	0;	2;	0;	32218;0;	0; 
2020-06-19   13:24:31 ;	0;	32;	0;	28182;0;	0; 
2020-06-19   13:24:31 ;	0;	10;	1;	3568;0;	0; 
2020-06-19   13:24:31 ;	0;	40;	1;	3502;0;	0; 
2020-06-19   13:24:31 ;	0;	24;	2;	1195;0;	0; 
2020-06-19   13:24:31 ;	0;	54;	2;	1272;0;	0; 
2020-06-19   13:24:31 ;	0;	28;	3;	813;0;	0; 
2020-06-19   13:24:31 ;	0;	58;	3;	808;0;	0; 
2020-06-19   13:24:31 ;	0;	11;	4;	1164;0;	0; 
2020-06-19   13:24:31 ;	0;	41;	4;	1120;0;	0; 
2020-06-19   13:24:31 ;	0;	13;	0;	28314;0;	0; 
2020-06-19   13:24:31 ;	0;	43;	0;	29792;0;	0; 
2020-06-19   13:24:31 ;	0;	9;	1;	3626;0;	0; 
2020-06-19   13:24:31 ;	0;	39;	1;	3700;0;	0; 
2020-06-19   13:24:31 ;	0;	25;	2;	1100;0;	0; 
2020-06-19   13:24:31 ;	0;	55;	2;	1072;0;	0; 
2020-06-19   13:24:31 ;	0;	27;	3;	746;0;	0; 
2020-06-19   13:24:31 ;	0;	57;	3;	717;0;	0; 
2020-06-19   13:24:31 ;	0;	16;	4;	1158;0;	0; 
2020-06-19   13:24:31 ;	0;	46;	4;	1263;0;	0; 
2020-06-19   13:24:31 ;	0;	1;	0;	24668;0;	0; 
2020-06-19   13:24:31 ;	0;	31;	0;	25168;0;	0; 
2020-06-19   13:24:31 ;	0;	8;	1;	3454;0;	0; 
2020-06-19   13:24:31 ;	0;	38;	1;	3664;0;	0; 
2020-06-19   13:24:31 ;	0;	14;	2;	1256;0;	0; 
2020-06-19   13:24:31 ;	0;	44;	2;	1267;0;	0; 
2020-06-19   13:24:31 ;	0;	29;	3;	782;0;	0; 
2020-06-19   13:24:31 ;	0;	59;	3;	788;0;	0; 
2020-06-19   13:24:31 ;	0;	17;	4;	1045;0;	0; 
2020-06-19   13:24:31 ;	0;	47;	4;	1143;0;	0; 
2020-06-19   13:24:31 ;	0;	7;	0;	23451;0;	0; 
2020-06-19   13:24:31 ;	0;	5;	1;	3439;0;	0; 
2020-06-19   13:24:31 ;	0;	20;	2;	1190;0;	0; 
2020-06-19   13:24:31 ;	0;	37;	0;	25025;0;	0; 
2020-06-19   13:24:32 ;	0;	30;	3;	780;0;	0; 
2020-06-19   13:24:32 ;	0;	35;	1;	3658;0;	0; 
2020-06-19   13:24:32 ;	0;	21;	4;	1221;0;	0; 
2020-06-19   13:24:32 ;	0;	50;	2;	1232;0;	0; 
2020-06-19   13:24:32 ;	0;	60;	3;	759;0;	0; 
2020-06-19   13:24:32 ;	0;	51;	4;	1165;0;	0; 
2020-06-19   13:24:32 ;	0;	6;	0;	29806;0;	0; 
2020-06-19   13:24:32 ;	0;	36;	0;	26134;0;	0; 
2020-06-19   13:24:32 ;	0;	4;	1;	3601;0;	0; 
2020-06-19   13:24:32 ;	0;	34;	1;	3747;0;	0; 
2020-06-19   13:24:32 ;	0;	15;	2;	1242;0;	0; 
2020-06-19   13:24:32 ;	0;	45;	2;	1262;0;	0; 
2020-06-19   13:24:32 ;	0;	18;	3;	771;0;	0; 
2020-06-19   13:24:32 ;	0;	48;	3;	784;0;	0; 
2020-06-19   13:24:32 ;	0;	22;	4;	1152;0;	0; 
